conflict_group,n_personas,mean_compatibility,persona_fit,persona_fit_ci_low,persona_fit_ci_high,video_fit,video_fit_ci_low,video_fit_ci_high,lean,lean_ci_low,lean_ci_high,diversity,diversity_ci_low,diversity_ci_high,concession,concession_ci_low,concession_ci_high,R@1,R@1_ci_low,R@1_ci_high,MRR,MRR_ci_low,MRR_ci_high,noltp_persona_fit,matched_minus_noltp_persona_fit,matched_minus_noltp_persona_fit_ci_low,matched_minus_noltp_persona_fit_ci_high,noltp_video_fit,matched_minus_noltp_video_fit,matched_minus_noltp_video_fit_ci_low,matched_minus_noltp_video_fit_ci_high,noltp_R@1,matched_minus_noltp_R@1,matched_minus_noltp_R@1_ci_low,matched_minus_noltp_R@1_ci_high
明顯衝突,8,0.021439885225319567,0.475,0.36875,0.5510416666666667,0.38089682419170323,0.3493582568455217,0.4081485659689547,0.09410317580829677,-0.009039797962319974,0.18263822930919882,0.5451573055555325,0.5175858303258606,0.5748841496799018,0.0625,0.025,0.11875,0.0125,0.0,0.03125,0.05912019248983361,0.03874351864679252,0.08082021840263542,0.2703125,0.2046875,0.13802083333333331,0.2854296875,0.5755698996729292,-0.19467307548122598,-0.2487664990798824,-0.13769200021277747,0.125,-0.1125,-0.2,-0.05609375000000085
部分一致,7,0.05946420862499578,0.5988095238095239,0.5369047619047619,0.650610119047619,0.426501684524551,0.37950813595755895,0.47266111680716283,0.17230783928497279,0.09315081154172528,0.2588338246630216,0.5517665525240226,0.5357258478544861,0.5691525005059506,0.06428571428571428,0.02142857142857143,0.11428571428571428,0.02857142857142857,0.007142857142857143,0.04285714285714286,0.09534988598188339,0.06415785296916422,0.12423551380224013,0.41666666666666663,0.18214285714285713,0.13035714285714287,0.23214285714285715,0.6208709045205617,-0.19436921999601076,-0.2616446983070444,-0.13852957961387288,0.2357142857142857,-0.20714285714285716,-0.2857142857142857,-0.14285714285714285
高度一致,9,0.23986492994105646,0.6138888888888889,0.5222222222222223,0.7148148148148148,0.49993362137041186,0.4582158919791079,0.5445864662966701,0.11395526751847701,0.04118519614188797,0.18735289804173952,0.5112542919017816,0.48167803224074096,0.5384227475666844,0.05,0.011111111111111112,0.1,0.06666666666666667,0.027777777777777776,0.1111111111111111,0.13741309853883374,0.10077244867318347,0.17796538180057705,0.5361111111111111,0.07777777777777778,0.02037037037037037,0.1388888888888889,0.6199449213974498,-0.1200113000270379,-0.17322816695986523,-0.07082454315120727,0.18333333333333332,-0.11666666666666667,-0.18888888888888888,-0.044444444444444446
