comparison,label,metric,difference,ci_low,ci_high,significant
exp_02 - exp_03,Explicit-only LTP − Implicit-only LTP,preference_claim_ratio,0.004015586108656143,0.0020913570669995763,0.005907741441841876,True
exp_02 - exp_03,Explicit-only LTP − Implicit-only LTP,preference_generation_coverage,0.01759809750297265,0.008799048751486328,0.02639714625445897,True
exp_02 - exp_03,Explicit-only LTP − Implicit-only LTP,preference_reference_alignment_rate,0.0493284203019137,-0.05263869945204567,0.1500348015743853,False
exp_02 - exp_03,Explicit-only LTP − Implicit-only LTP,preference_reference_contradiction_rate,-0.0156900035659099,-0.04347846854974439,0.009313984879790087,False
exp_02 - exp_03,Explicit-only LTP − Implicit-only LTP,preference_nonexistent_rate,-0.028448036768493223,-0.12549481830133744,0.06986198780096711,False
exp_02 - exp_03,Explicit-only LTP − Implicit-only LTP,metadata_support_rate,0.034015664610844154,-0.007871385447183845,0.07406234382029017,False
exp_02 - exp_03,Explicit-only LTP − Implicit-only LTP,UCR_L1_clause,0.009142110301877948,0.004080995811261428,0.014140329610288348,True
exp_02 - exp_03,Explicit-only LTP − Implicit-only LTP,UCR_L2_sentence,0.008541998410811186,0.004991175366752947,0.012139285476514945,True
exp_02 - exp_03,Explicit-only LTP − Implicit-only LTP,audio_claim_ratio,-0.009076250849579082,-0.014819203673305336,-0.0029419865660685485,True
exp_02 - exp_03,Explicit-only LTP − Implicit-only LTP,claims_per_generation,-0.33365041617122504,-0.3762187871581455,-0.2879904875148638,True
exp_01 - exp_02,Hybrid LTP − Explicit-only LTP,preference_claim_ratio,-0.004759774261823493,-0.006590390023325915,-0.0028558253931866375,True
exp_01 - exp_02,Hybrid LTP − Explicit-only LTP,preference_generation_coverage,-0.019262782401902497,-0.027824019024970274,-0.010225921521997625,True
exp_01 - exp_02,Hybrid LTP − Explicit-only LTP,preference_reference_alignment_rate,-0.08255264288783842,-0.18159670373366382,0.022647467861646623,False
exp_01 - exp_02,Hybrid LTP − Explicit-only LTP,preference_reference_contradiction_rate,-0.00558659217877095,-0.018518518518518517,0.0,False
exp_01 - exp_02,Hybrid LTP − Explicit-only LTP,preference_nonexistent_rate,0.038977223893425006,-0.06559925165355787,0.13901061021154265,False
exp_01 - exp_02,Hybrid LTP − Explicit-only LTP,metadata_support_rate,0.01468266143818242,-0.0276674756532876,0.05423581408775475,False
exp_01 - exp_02,Hybrid LTP − Explicit-only LTP,UCR_L1_clause,-0.008990890554989306,-0.01393634611305783,-0.004001835438354938,True
exp_01 - exp_02,Hybrid LTP − Explicit-only LTP,UCR_L2_sentence,-0.008895345655327572,-0.012386543693154894,-0.005385741950317797,True
exp_01 - exp_02,Hybrid LTP − Explicit-only LTP,audio_claim_ratio,0.022892290206838084,0.016613638170019304,0.029088118360563082,True
exp_01 - exp_02,Hybrid LTP − Explicit-only LTP,claims_per_generation,0.4335315101070156,0.3871521997621886,0.4763376932223542,True
