conflict_group,n_personas,mean_compatibility,persona_fit,persona_fit_ci_low,persona_fit_ci_high,video_fit,video_fit_ci_low,video_fit_ci_high,lean,lean_ci_low,lean_ci_high,diversity,diversity_ci_low,diversity_ci_high,concession,concession_ci_low,concession_ci_high,R@1,R@1_ci_low,R@1_ci_high,MRR,MRR_ci_low,MRR_ci_high,noltp_persona_fit,noltp_video_fit,noltp_R@1
明顯衝突,8,0.021439885225319567,0.4385416666666666,0.371875,0.5072916666666666,0.3808860083111539,0.3263176326918679,0.42303415496730573,0.057655658355512805,-0.03471971397760247,0.16674524926947196,0.5523917973587771,0.5374557518552793,0.5706849733386656,0.0875,0.04375,0.1375,0.01875,0.00625,0.0375,0.06247935810386505,0.03791798022676124,0.08859494858626228,0.2703125,0.5755698996729292,0.125
部分一致,7,0.05946420862499578,0.48809523809523814,0.4113095238095238,0.5654761904761905,0.4472159133252123,0.4088787170669704,0.4910151825728451,0.04087932477002577,-0.05627813542758534,0.1254492592376479,0.5290908339838923,0.5060002959781507,0.5503646812271412,0.06428571428571428,0.05,0.09285714285714286,0.014285714285714285,0.0,0.02857142857142857,0.10189381434360066,0.06796620181221463,0.1370007304524068,0.41666666666666663,0.6208709045205617,0.2357142857142857
高度一致,9,0.23986492994105646,0.6129629629629629,0.5351851851851852,0.7074074074074074,0.497177191978141,0.44265720311758927,0.5489243296724373,0.115785770984822,0.06858131778889323,0.18304248701581155,0.5163929064135825,0.4881480470270566,0.5461837681490374,0.03888888888888889,0.005555555555555556,0.08333333333333333,0.07777777777777778,0.03888888888888889,0.11666666666666667,0.16666183504282248,0.11157262702314798,0.22144855992189943,0.5361111111111111,0.6199449213974498,0.18333333333333332
