exp,sample_idx,cf_variant,delta_target_terms,delta_opposite_terms,direction_accuracy,net_direction_accuracy,prompt_echo_rate,base_mentions_top1_title,cf_mentions_top1_title,title_drift,text_changed,top1_music_id
exp_01,512,cf_upbeat_electronic,3,0,1,1,0.6667,0,1,0,1,sPtyyoP3Uz4_JjE4zBFDIM4
exp_01,512,cf_lyrical_piano,9,-3,1,1,1.0,0,1,0,1,sPtyyoP3Uz4_JjE4zBFDIM4
exp_01,553,cf_upbeat_electronic,5,0,1,1,1.0,1,1,0,1,ynVK3EsW9Ws_7i6N8WLd2zU
exp_01,553,cf_lyrical_piano,9,-2,1,1,1.0,1,1,0,1,ynVK3EsW9Ws_7i6N8WLd2zU
exp_01,559,cf_upbeat_electronic,6,0,1,1,1.0,1,1,0,1,hS2tevgRLHQ_GS7GfA4zk9E
exp_01,559,cf_lyrical_piano,3,-1,1,1,1.0,1,1,0,1,hS2tevgRLHQ_GS7GfA4zk9E
exp_01,562,cf_upbeat_electronic,5,0,1,1,0.5,1,1,0,1,Tl7ZXX6wbRE_rKoU3ekYQ-I
exp_01,562,cf_lyrical_piano,5,1,1,0,0.8,1,1,0,1,Tl7ZXX6wbRE_rKoU3ekYQ-I
exp_01,627,cf_upbeat_electronic,4,0,1,1,0.5714,1,1,0,1,lRXn2djCFEQ_9D-wLVsgj9Q
exp_01,627,cf_lyrical_piano,3,-1,1,1,0.6667,1,1,0,1,lRXn2djCFEQ_9D-wLVsgj9Q
exp_01,685,cf_upbeat_electronic,9,0,1,1,1.0,1,1,0,1,SSmTgwp15FQ_SH8esP19qww
exp_01,685,cf_lyrical_piano,7,0,1,1,1.0,1,1,0,1,SSmTgwp15FQ_SH8esP19qww
exp_01,777,cf_upbeat_electronic,7,0,1,1,1.0,1,1,0,1,T56LFxaEJV8_H5Nn-SIDfWo
exp_01,777,cf_lyrical_piano,5,-2,1,1,0.6,1,1,0,1,T56LFxaEJV8_H5Nn-SIDfWo
exp_01,780,cf_upbeat_electronic,4,0,1,1,0.8,0,1,0,1,J4_eqMYZtpE_yEbrcWgELU0
exp_01,780,cf_lyrical_piano,5,1,1,0,0.8,0,1,0,1,J4_eqMYZtpE_yEbrcWgELU0
exp_01,781,cf_upbeat_electronic,6,0,1,1,0.8889,1,1,0,1,bqzAothNuZs_7Exf7LE_ef0
exp_01,781,cf_lyrical_piano,5,-1,1,1,0.6,1,1,0,1,bqzAothNuZs_7Exf7LE_ef0
exp_01,800,cf_upbeat_electronic,7,0,1,1,0.875,1,1,0,1,-lw36uY6xAM_bOizqYTGDeU
exp_01,800,cf_lyrical_piano,9,0,1,1,1.0,1,1,0,1,-lw36uY6xAM_bOizqYTGDeU
exp_01,806,cf_upbeat_electronic,5,0,1,1,0.5556,1,1,0,1,bjAT4stJQnU_hQX8ZYEnlfQ
exp_01,806,cf_lyrical_piano,5,-1,1,1,0.8,1,1,0,1,bjAT4stJQnU_hQX8ZYEnlfQ
exp_01,839,cf_upbeat_electronic,4,0,1,1,0.5714,1,1,0,1,CybpW4MFHFQ_O-EevC0Kirs
exp_01,839,cf_lyrical_piano,7,-1,1,1,0.8571,1,1,0,1,CybpW4MFHFQ_O-EevC0Kirs
exp_01,863,cf_upbeat_electronic,5,0,1,1,0.625,1,1,0,1,fL_-VnFyBEg_Ejy-05oqXs8
exp_01,863,cf_lyrical_piano,5,0,1,1,0.8,1,1,0,1,fL_-VnFyBEg_Ejy-05oqXs8
exp_01,869,cf_upbeat_electronic,2,0,1,1,0.7778,1,1,0,1,59seM7k60vw_mYKWya_Uctk
exp_01,869,cf_lyrical_piano,6,-4,1,1,1.0,1,1,0,1,59seM7k60vw_mYKWya_Uctk
exp_01,884,cf_upbeat_electronic,7,0,1,1,0.7143,1,1,0,1,UejDqqUY-0E_7zQ3CjvCa0U
exp_01,884,cf_lyrical_piano,7,1,1,0,1.0,1,1,0,1,UejDqqUY-0E_7zQ3CjvCa0U
exp_01,889,cf_upbeat_electronic,4,0,1,1,0.5714,0,1,0,1,6xH1iZ8Y4Ck_khKm-QUEcZg
exp_01,889,cf_lyrical_piano,5,-1,1,1,0.8,0,1,0,1,6xH1iZ8Y4Ck_khKm-QUEcZg
exp_01,910,cf_upbeat_electronic,1,0,1,1,0.8889,0,0,0,1,Hk_ZZtKlYlQ_yyG8UgNeWxM
exp_01,910,cf_lyrical_piano,5,-6,1,1,1.0,0,0,0,1,Hk_ZZtKlYlQ_yyG8UgNeWxM
exp_01,916,cf_upbeat_electronic,5,0,1,1,0.6,1,1,0,1,U9oXfZM7IAQ_zd-SkyAI6lk
exp_01,916,cf_lyrical_piano,7,1,1,0,1.0,1,1,0,1,U9oXfZM7IAQ_zd-SkyAI6lk
exp_01,1036,cf_upbeat_electronic,1,0,1,1,1.0,1,1,0,1,YhFYuZyr5Yo_vBqoI_4em_o
exp_01,1036,cf_lyrical_piano,7,-1,1,1,1.0,1,1,0,1,YhFYuZyr5Yo_vBqoI_4em_o
exp_01,1060,cf_upbeat_electronic,3,0,1,1,0.6667,1,1,0,1,D8B7F9T1eZM_z08BQP7eZX4
exp_01,1060,cf_lyrical_piano,3,0,1,1,0.6667,1,1,0,1,D8B7F9T1eZM_z08BQP7eZX4
exp_01,1083,cf_upbeat_electronic,5,0,1,1,0.625,0,1,0,1,Mv-TH1lBLyQ_1JN3-IB0j4M
exp_01,1083,cf_lyrical_piano,5,-1,1,1,0.8,0,1,0,1,Mv-TH1lBLyQ_1JN3-IB0j4M
exp_01,1105,cf_upbeat_electronic,5,0,1,1,0.5714,1,1,0,1,fwxrNv20jy4_LJHvRwOfj3w
exp_01,1105,cf_lyrical_piano,5,0,1,1,0.8,1,1,0,1,fwxrNv20jy4_LJHvRwOfj3w
exp_01,1119,cf_upbeat_electronic,9,-2,1,1,1.0,1,1,0,1,rZb8WsdW5eM_8l5B3peJABY
exp_01,1119,cf_lyrical_piano,3,0,1,1,0.6,1,1,0,1,rZb8WsdW5eM_8l5B3peJABY
exp_01,1136,cf_upbeat_electronic,4,0,1,1,0.8571,1,1,0,1,JsRob9KFOuA_NhiCjOHED8Q
exp_01,1136,cf_lyrical_piano,5,-1,1,1,0.8,1,1,0,1,JsRob9KFOuA_NhiCjOHED8Q
