condition,label,generation_evaluated,n,recall@1,recall@5,recall@10,mrr,median_rank,mean_rank,ltp_vector_norm_mean,ltp_shift_norm_mean,n_samples,n_claims,claims_per_generation,mean_words,degenerate_rate,preference_claim_ratio,preference_generation_coverage,preference_reference_alignment_rate,preference_partial_rate,preference_reference_contradiction_rate,preference_nonexistent_rate,preference_uncheckable_ratio,metadata_claim_ratio,metadata_support_rate,metadata_notfound_rate,UCR_L1_clause,UCR_L2_sentence,audio_claim_ratio,video_claim_ratio,prompt_claim_ratio,general_claim_ratio
full,完整 Hybrid,True,200,0.29,0.67,0.8,0.45570285545992356,3.0,7.54,20.719698066711427,0.0,200,1083,5.415,47.925,0.005,0.008310249307479225,0.04,0.8,0.0,0.0,0.2,0.4444444444444444,0.3988919667590028,0.6774193548387096,0.22580645161290322,0.11542012927054478,0.027700831024930747,0.3721144967682364,0.00554016620498615,0.05170821791320406,0.04801477377654663
no_explicit,移除顯式成分（原始）,False,200,0.155,0.475,0.635,0.3060352865907072,6.0,16.675,5.315347290039062,20.993555272204084,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
no_implicit,移除隱式成分（原始）,False,200,0.03,0.115,0.17,0.08970026731921882,43.0,58.945,39.983016624450684,34.32495803424516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
no_explicit_norm,移除顯式成分（範數校正）,True,200,0.16,0.47,0.625,0.30881828634933767,6.0,16.705,20.719698066711427,28.1681239874186,200,1123,5.615,52.335,0.14,0.013357079252003561,0.07,0.5,0.1,0.0,0.4,0.3333333333333333,0.3170080142475512,0.48148148148148145,0.3333333333333333,0.20837043633125557,0.10418521816562779,0.3223508459483526,0.005342831700801425,0.06589492430988424,0.06767586821015138
no_implicit_norm,移除隱式成分（範數校正）,True,200,0.03,0.115,0.17,0.08970637363244699,43.0,58.935,20.719698066711427,20.445158091861956,200,1105,5.525,47.965,0.005,0.01085972850678733,0.05,0.6666666666666666,0.1111111111111111,0.0,0.2222222222222222,0.25,0.38642533936651585,0.7096774193548387,0.22580645161290322,0.11312217194570136,0.02262443438914027,0.37918552036199094,0.00904977375565611,0.05339366515837104,0.04796380090497738
no_both,同時移除兩成分,False,200,0.015,0.035,0.065,0.036056715263678436,155.0,175.275,35.413307647705075,40.93833379927761,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
