counterfactual,target_attribute,CDA,CDA_ci_low,CDA_ci_high,IAD,IAD_ci_low,IAD_ci_high
cf_tempo,tempo,0.325,0.2375,0.41875,0.246875,0.20346354166666664,0.29201388888888885
cf_energy,energy,0.2625,0.1125,0.4126562499999991,0.228125,0.1767361111111111,0.2784809027777777
cf_vocal,vocal,0.1,0.04375,0.1625,0.2708333333333333,0.22673177083333335,0.31424045138888884
cf_popularity,popularity,0.14331210191082802,0.10896565495207668,0.18152866242038215,0.2253472222222222,0.18055555555555552,0.2708333333333333
cf_consistency,（非曲目屬性）,nan,nan,nan,0.24375,0.19600694444444444,0.2880251736111111
