condition,attribute_claim_support_rate,support_ci_low,support_ci_high,UPCR,UPCR_ci_low,UPCR_ci_high,share_with_any_attribute_claim
matched,0.7455828779599272,0.6461480943152456,0.833479888167388,0.2544171220400729,0.1665201118326118,0.3538519056847545,0.7625
shuffled,0.7180809653561698,0.6138489282505455,0.8107688326535656,0.2819190346438303,0.18923116734643428,0.38615107174945446,0.7645833333333333
random,0.655406911928651,0.5489356384694978,0.7613299650024032,0.3445930880713489,0.23867003499759673,0.45106436153050206,0.6229166666666667
no_ltp,0.6862397820163488,0.5712999212908304,0.7920375829034635,0.3137602179836512,0.20796241709653648,0.4287000787091696,0.7645833333333333
