condition,n_cases,ACR,ACR_ci_low,ACR_ci_high,persona_fit@1,fit_ci_low,fit_ci_high,gt_R@1,gt_MRR,rate_genre,rate_tempo,rate_energy,rate_vocal,rate_popularity
matched,480,0.5196180555555555,0.46648871527777774,0.5769097222222223,0.22291666666666668,0.13958333333333334,0.3229166666666667,0.03958333333333333,0.11304367002589696,0.5875,0.53125,0.7375,0.575,0.2302839116719243
shuffled,480,0.41805555555555557,0.346875,0.48924045138888883,0.15833333333333333,0.08125,0.24791666666666667,0.041666666666666664,0.10354585472687725,0.4708333333333333,0.26875,0.4875,0.49375,0.27044025157232704
random,480,0.35572916666666665,0.3003385416666666,0.41024739583333325,0.08958333333333333,0.052083333333333336,0.13541666666666666,0.029166666666666667,0.08476082322917318,0.41875,0.26875,0.5,0.48125,0.22955974842767296
cf_tempo,480,0.46527777777777773,0.3975607638888889,0.540625,0.18958333333333333,0.10203125,0.29171874999999975,0.0625,0.13035684325204522,0.5166666666666667,0.225,0.55,0.58125,0.2884012539184953
cf_energy,480,0.5498263888888888,0.5001692708333333,0.6048654513888889,0.23333333333333334,0.15,0.3354687499999997,0.04791666666666667,0.11960449766102675,0.6583333333333333,0.58125,0.55,0.68125,0.2555205047318612
cf_vocal,480,0.49895833333333334,0.4385373263888888,0.5604296874999999,0.17291666666666666,0.10625,0.2604166666666667,0.04375,0.10415239661056894,0.5979166666666667,0.5375,0.725,0.58125,0.2126984126984127
cf_popularity,480,0.5536458333333333,0.48523871527777773,0.6142447916666667,0.2520833333333333,0.16869791666666667,0.34375,0.05625,0.12402193886683646,0.6354166666666666,0.575,0.75625,0.56875,0.27936507936507937
cf_consistency,480,0.556423611111111,0.4895833333333333,0.6199739583333332,0.2520833333333333,0.16869791666666667,0.3541666666666667,0.035416666666666666,0.10846234757744316,0.63125,0.575,0.725,0.59375,0.3018867924528302
