counterfactual,target_attribute,CDA,CDA_ci_low,CDA_ci_high,IAD,IAD_ci_low,IAD_ci_high
cf_tempo,tempo,0.33125,0.25625,0.425,0.24930555555555553,0.20520833333333333,0.2934114583333333
cf_energy,energy,0.2625,0.1125,0.4126562499999991,0.22881944444444446,0.17604166666666668,0.2791753472222222
cf_vocal,vocal,0.1,0.04375,0.1625,0.2713541666666667,0.22655381944444444,0.3152777777777778
cf_popularity,popularity,0.1464968152866242,0.11002348888192921,0.18867924528301888,0.22638888888888886,0.18159722222222224,0.27084201388888884
cf_consistency,（非曲目屬性）,nan,nan,nan,0.24444444444444446,0.19791666666666666,0.28717013888888876
