condition,n,ACR,ACR_ci_low,ACR_ci_high,persona_fit@1,fit@1_ci_low,fit@1_ci_high,persona_fit@5,fit@5_ci_low,fit@5_ci_high,persona_fit@10,fit@10_ci_low,fit@10_ci_high,nDCG@5,nDCG@5_ci_low,nDCG@5_ci_high,nDCG@10,nDCG@10_ci_low,nDCG@10_ci_high,gt_R@1,gt_MRR
matched,480,0.5184027777777778,0.46578993055555556,0.5751866319444444,0.22291666666666668,0.13958333333333334,0.3229166666666667,0.21583333333333338,0.1433125,0.30791666666666667,0.20666666666666664,0.13645312499999998,0.29251562499999983,0.875004612286738,0.855966539425435,0.892959086752179,0.8464530321757274,0.8254001935889071,0.8676275588375669,0.03958333333333333,0.11304367002589696
shuffled,480,0.42083333333333334,0.3484331597222222,0.4948046874999999,0.16041666666666668,0.08333333333333333,0.25416666666666665,0.16375,0.09164583333333333,0.24958333333333335,0.160625,0.085,0.24958854166666666,0.8445206913579746,0.8192440763923051,0.8690184519988237,0.8095940733454577,0.7795553527108791,0.8388481189394398,0.041666666666666664,0.10354585472687725
random,480,0.35520833333333335,0.2994748263888889,0.40938802083333325,0.08958333333333333,0.052083333333333336,0.13541666666666666,0.10208333333333333,0.06708333333333334,0.14209374999999996,0.10145833333333334,0.06645312499999999,0.14128124999999983,0.8444998602036236,0.8229712012761327,0.8640940458700533,0.8024481545489904,0.775936879331505,0.8258221175137932,0.029166666666666667,0.08476082322917318
no_ltp,480,0.41267361111111106,0.34876302083333327,0.47170138888888885,0.15416666666666667,0.08744791666666667,0.23541666666666666,0.14708333333333334,0.08041666666666666,0.2241979166666665,0.14187500000000003,0.07874479166666667,0.21625520833333334,0.8646900349938271,0.8423978458720395,0.8831373792784537,0.8279507879763969,0.7985367111064395,0.851916330098595,0.17916666666666667,0.32134100149155764
cf_tempo,480,0.46440972222222215,0.3961631944444444,0.5402864583333332,0.18958333333333333,0.10203125,0.29171874999999975,0.17708333333333334,0.09875000000000002,0.27208333333333334,0.1720833333333333,0.095203125,0.26585416666666656,0.8642144551281044,0.8444509072022561,0.8847744548499384,0.834832281065114,0.8111593607621597,0.8580942656977301,0.0625,0.13035684325204522
cf_energy,480,0.5493055555555555,0.49982638888888886,0.604001736111111,0.23333333333333334,0.15,0.3354687499999997,0.22000000000000003,0.14,0.31252083333333325,0.2141666666666667,0.13747916666666668,0.3056354166666666,0.8897031465171478,0.8736453723869927,0.905511613221025,0.854045098624012,0.8304245303920658,0.8765504544857423,0.04791666666666667,0.11960449766102675
cf_vocal,480,0.49895833333333334,0.4385373263888888,0.5604296874999999,0.17291666666666666,0.10625,0.2604166666666667,0.17958333333333337,0.11958333333333333,0.25875,0.17333333333333334,0.114578125,0.25354166666666667,0.8819376532182308,0.8634409992996648,0.9002885673995007,0.8492477679348793,0.8181591891551149,0.8767821125423555,0.04375,0.10415239661056894
cf_popularity,480,0.5536458333333333,0.48523871527777773,0.6142447916666667,0.2520833333333333,0.16869791666666667,0.34375,0.21833333333333335,0.1404166666666667,0.3125104166666667,0.20916666666666667,0.1335364583333333,0.29771875,0.8938850418396916,0.8767291823387576,0.9090875065286518,0.864271004076382,0.8422100282567316,0.8826986001692969,0.05625,0.12402193886683646
cf_consistency,480,0.5583333333333333,0.49422743055555557,0.6208550347222221,0.25416666666666665,0.17083333333333334,0.35421874999999975,0.24125000000000002,0.15957291666666665,0.3379479166666665,0.22541666666666665,0.146453125,0.3208697916666665,0.8886850793084942,0.8637660005618673,0.9097024669539531,0.8621202503810443,0.8331474480314456,0.8862410020221196,0.035416666666666666,0.10846234757744316
