comparison,label,contrast,n_easy,n_hard,did_R@1,did_R@1_ci_low,did_R@1_ci_high,did_R@1_significant,did_R@5,did_R@5_ci_low,did_R@5_ci_high,did_R@5_significant,did_MRR,did_MRR_ci_low,did_MRR_ci_high,did_MRR_significant,did_nDCG@10,did_nDCG@10_ci_low,did_nDCG@10_ci_high,did_nDCG@10_significant
exp_01 - exp_04,Hybrid LTP (Matched) − No-LTP,Hard − Easy,1402,1402,0.00427960057061344,-0.033523537803138354,0.0406562054208274,False,0.024964336661911557,-0.012125534950071293,0.06276747503566332,False,0.006080309666885275,-0.022575763479032285,0.03292657892225507,False,0.007461858103822938,-0.019352007637843276,0.033237289808032686,False
exp_03 - exp_04,Implicit-only LTP − No-LTP,Hard − Easy,1402,1402,-0.04493580599144076,-0.0848787446504993,-0.004279600570613411,True,-0.01854493580599148,-0.06205420827389446,0.022842368045649042,False,-0.03939705277976624,-0.07184015512603464,-0.008329431028513691,True,-0.030391589078172132,-0.06108553266756051,0.00017784970384064196,False
exp_02 - exp_04,Explicit-only LTP − No-LTP,Hard − Easy,1402,1402,-0.012125534950071293,-0.04281383737517831,0.020684736091298145,False,-0.006419400855920077,-0.039247503566333816,0.02639087018544939,False,-0.013803888964488475,-0.03670655175271856,0.009203718036180173,False,-0.009394623106562416,-0.03111922775231695,0.012339244712209912,False
