analysis_setting,prompt_variant,focal_exp,compare_exp,metric_group,metric,metric_label,higher_is_better,n_pairs,focal_mean,compare_mean,mean_improvement_positive_is_focal_better,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_statistic,p_value_raw,wilcoxon_method,p_value_holm,significant_holm_0.05
top1_end_to_end_generation,original,exp_01,exp_04,generation,infolm_fisher_rao,InfoLM Fisher-Rao,False,4205,1.7602948537550553,1.8690705472651612,0.1087756935101059,0.08710464671091336,0.1299326854583736,2917064.0,1.313115965632803e-09,scipy_wilcoxon,2.1009855450124847e-08,True
top1_end_to_end_generation,original,exp_01,exp_05,ranking,R@1,R@1,True,4205,0.3065398335315101,0.2806183115338882,0.02592152199762188,0.011890606420927468,0.03971462544589774,183714.0,0.0003093122696027181,scipy_wilcoxon,0.002783810426424463,True
top1_end_to_end_generation,original,exp_01,exp_05,ranking,R@5,R@5,True,4205,0.6639714625445897,0.6137931034482759,0.050178359096313914,0.0366230677764566,0.06397146254458977,146187.0,1.0410809020606165e-12,scipy_wilcoxon,1.8739456237091096e-11,True
top1_end_to_end_generation,original,exp_01,exp_05,ranking,R@10,R@10,True,4205,0.7988109393579073,0.7612366230677765,0.0375743162901308,0.02592152199762188,0.04922711058263971,74458.0,3.0765624758912425e-10,scipy_wilcoxon,5.230156209015112e-09,True
top1_end_to_end_generation,original,exp_01,exp_05,ranking,rank,Rank,False,4205,7.9491082045184305,9.611177170035672,1.6620689655172414,1.31961355529132,2.014286563614744,1916246.0,2.5106729865294703e-22,scipy_wilcoxon,5.5234805703648345e-21,True
top1_end_to_end_generation,original,exp_01,exp_05,generation,bertscore_f1,BERTScore F1,True,4205,0.7525929961916099,0.7414084443297596,0.011184551861850316,0.008795715867232766,0.013689968140527836,4082867.5,7.076558253999014e-05,scipy_wilcoxon,0.0007784214079398916,True
top1_end_to_end_generation,original,exp_01,exp_05,generation,infolm_ab_divergence,InfoLM AB,False,4205,2.506864276716561,2.8111181938294854,0.3042539171129243,0.2355760456543671,0.37461782203252203,2506995.0,1.866404117568236e-06,scipy_wilcoxon,2.799606176352354e-05,True
top1_end_to_end_generation,original,exp_01,exp_05,generation,infolm_l2_distance,InfoLM L2,False,4205,0.2063464893413515,0.22730755485266482,0.020961065511313333,0.016638030985461086,0.025374637812527735,2557523.0,0.00011511561081273872,scipy_wilcoxon,0.0011511561081273872,True
top1_end_to_end_generation,original,exp_01,exp_05,generation,infolm_fisher_rao,InfoLM Fisher-Rao,False,4205,1.7602948537550553,1.8113479293902641,0.05105307563520884,0.029721672758235798,0.0726459886056402,2542541.5,3.6843151827527526e-05,scipy_wilcoxon,0.00044211782193033034,True
top1_end_to_end_generation,original,exp_01,exp_06,ranking,R@1,R@1,True,4205,0.3065398335315101,0.16956004756242568,0.13697978596908442,0.12104637336504162,0.15243757431629013,191943.5,1.3824322496452928e-61,scipy_wilcoxon,4.009053523971349e-60,True
