condition,n_claims,unsupported_claims,UCR,MAA,video_claim_ratio,audio_claim_ratio,prompt_claim_ratio,preference_claim_ratio,general_claim_ratio,unknown_claim_ratio
full,1079,116,0.10750695088044486,1.0,0.20481927710843373,0.5236329935125116,0.03614457831325301,0.005560704355885079,0.12233549582947173,0.10750695088044486
wo_audio_all,1015,613,0.6039408866995074,0.35603345280764637,0.20591133004926107,0.5310344827586206,0.027586206896551724,0.060098522167487685,0.10246305418719212,0.0729064039408867
wo_audio_feature_only,955,561,0.587434554973822,0.3363286264441592,0.1549738219895288,0.5413612565445026,0.048167539267015703,0.0712041884816754,0.1382198952879581,0.04607329842931937
wo_ltp,342,336,0.9824561403508771,1.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.9824561403508771
wo_prompt,1048,94,0.08969465648854962,0.985594237695078,0.22137404580152673,0.5591603053435115,0.011450381679389313,0.0028625954198473282,0.1269083969465649,0.07824427480916031
wo_video,923,264,0.28602383531960995,0.7307152875175316,0.20801733477789816,0.49187432286023836,0.04550379198266522,0.027085590465872156,0.1495124593716143,0.0780065005417118
