condition,n_claims,unsupported_claims,UCR,MAA,video_claim_ratio,audio_claim_ratio,prompt_claim_ratio,preference_claim_ratio,metadata_claim_ratio,general_claim_ratio,unknown_claim_ratio
full,1090,143,0.13119266055045872,1.0,0.003669724770642202,0.37706422018348623,0.03853211009174312,0.008256880733944955,0.3889908256880734,0.05229357798165138,0.13119266055045872
wo_audio_all,1015,798,0.7862068965517242,0.21218487394957983,0.011822660098522168,0.3694581280788177,0.027586206896551724,0.060098522167487685,0.24926108374384237,0.11428571428571428,0.16748768472906403
wo_audio_feature_only,953,516,0.5414480587618048,0.2326086956521739,0.005246589716684155,0.3704092339979014,0.046169989506820566,0.060860440713536204,0.24868835257082897,0.09758656873032528,0.17103882476390347
wo_ltp,329,328,0.9969604863221885,0.0,0.0,0.0,0.0,0.0,0.00303951367781155,0.0,0.9969604863221885
wo_prompt,1061,188,0.177191328934967,0.975051975051975,0.001885014137606032,0.43920829406220546,0.011310084825636193,0.000942507068803016,0.3468426013195099,0.033930254476908575,0.16588124410933083
wo_video,939,166,0.17678381256656017,0.9892761394101877,0.004259850905218318,0.3109691160809372,0.054313099041533544,0.027689030883919063,0.3439829605963791,0.08626198083067092,0.17252396166134185
