condition,n_claims,unsupported_claims,UCR,MAA,video_claim_ratio,audio_claim_ratio,prompt_claim_ratio,preference_claim_ratio,general_claim_ratio,unknown_claim_ratio
full,1090,130,0.11926605504587157,1.0,0.1963302752293578,0.5165137614678899,0.03853211009174312,0.008256880733944955,0.12110091743119267,0.11926605504587157
wo_audio_all,1015,613,0.6039408866995074,0.35603345280764637,0.20591133004926107,0.5310344827586206,0.027586206896551724,0.060098522167487685,0.10246305418719212,0.0729064039408867
wo_audio_feature_only,953,567,0.5949632738719832,0.33375796178343947,0.16789087093389296,0.5487932843651626,0.046169989506820566,0.060860440713536204,0.13011542497376705,0.046169989506820566
wo_ltp,329,320,0.9726443768996961,1.0,0.02735562310030395,0.0,0.0,0.0,0.0,0.9726443768996961
wo_prompt,1061,113,0.10650329877474081,0.9853658536585366,0.2224316682375118,0.5381715362865221,0.011310084825636193,0.000942507068803016,0.13195098963242224,0.09519321394910461
wo_video,939,254,0.27050053248136313,0.7472527472527473,0.1959531416400426,0.49733759318423854,0.054313099041533544,0.027689030883919063,0.1501597444089457,0.07454739084132056
