focal_exp,compare_exp,metric,metric_label,higher_is_better,n_pairs,focal_mean,compare_mean,mean_improvement_positive_is_focal_better,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_statistic,p_value_raw,wilcoxon_method,p_value_holm,significant_holm_0.05
exp_01,exp_02,R@1,R@1,True,4205,0.3065398335315101,0.2192627824019025,0.08727705112960761,0.07253269916765755,0.10225921521997622,167936.0,1.7749815105302348e-30,scipy_wilcoxon,2.662472265795352e-29,True
exp_01,exp_02,R@5,R@5,True,4205,0.6639714625445897,0.53769322235434,0.1262782401902497,0.11153388822829964,0.14149821640903687,153707.0,4.753966273469502e-58,scipy_wilcoxon,9.032535919592055e-57,True
exp_01,exp_02,R@10,R@10,True,4205,0.7988109393579073,0.6834720570749108,0.11533888228299644,0.10178359096313912,0.12865636147443518,85410.0,2.0427678895743528e-60,scipy_wilcoxon,4.494089357063576e-59,True
exp_01,exp_02,rank,Rank,False,4205,7.9491082045184305,13.01807372175981,5.068965517241379,4.592390011890607,5.5562485136741975,1431385.5,8.661171362162136e-130,scipy_wilcoxon,2.684963122270262e-128,True
exp_01,exp_02,bertscore_f1,BERTScore F1,True,4204,0.7748353447194444,0.7581600813526522,0.016675263366792228,0.014407183697888473,0.018989791985526753,3388682.5,3.332231060873841e-33,scipy_wilcoxon,5.331569697398145e-32,True
exp_01,exp_02,infolm_ab_divergence,InfoLM AB,False,4204,1.3923106425066085,2.0008664325915975,0.6085557900849893,0.552283925858901,0.6673331544904758,1025560.0,3.8401302432752876e-130,scipy_wilcoxon,1.228841677848092e-128,True
exp_01,exp_02,infolm_l2_distance,InfoLM L2,False,4204,0.13732338367122182,0.17913777420459426,0.04181439053337245,0.038670774928922055,0.04512523955439676,970165.0,2.622370973185772e-143,scipy_wilcoxon,8.653824211513048e-142,True
exp_01,exp_02,infolm_fisher_rao,InfoLM Fisher-Rao,False,4204,1.1495423241986065,1.4697604633561445,0.3202181391575379,0.29639902708206617,0.3441542524822504,955515.0,6.754022139455904e-147,scipy_wilcoxon,2.2963675274150075e-145,True
exp_01,exp_03,R@1,R@1,True,4205,0.3065398335315101,0.31058263971462546,-0.004042806183115339,-0.019738406658739594,0.01117717003567182,317512.0,0.61383675351717,scipy_wilcoxon,1.0,False
exp_01,exp_03,R@5,R@5,True,4205,0.6639714625445897,0.6653983353151011,-0.001426872770511296,-0.016884661117717005,0.01403091557669441,292407.5,0.8553967202491313,scipy_wilcoxon,1.0,False
exp_01,exp_03,R@10,R@10,True,4205,0.7988109393579073,0.8092746730083235,-0.010463733650416172,-0.023067776456599288,0.002140309155766944,125366.5,0.10341614176523772,scipy_wilcoxon,0.8273291341219018,False
exp_01,exp_03,rank,Rank,False,4205,7.9491082045184305,7.680142687277051,-0.2689655172413793,-0.6392508917954816,0.099411414982164,2519082.0,0.3729353101345203,scipy_wilcoxon,1.0,False
exp_01,exp_03,bertscore_f1,BERTScore F1,True,4204,0.7748353447194444,0.7718631795595987,0.00297216515984567,0.0015893043946655562,0.004326366622543244,4016386.0,3.8428105331969504e-05,scipy_wilcoxon,0.00038428105331969506,True
exp_01,exp_03,infolm_ab_divergence,InfoLM AB,False,4204,1.3923106425066085,1.6533946233691774,0.2610839808625692,0.2253836262104486,0.2968292713246017,732705.0,8.376214488378547e-55,scipy_wilcoxon,1.5077186079081384e-53,True
exp_01,exp_03,infolm_l2_distance,InfoLM L2,False,4204,0.13732338367122182,0.15799880007234934,0.020675416401127526,0.018362746331301322,0.02300252559634464,714742.0,4.968564959817907e-59,scipy_wilcoxon,1.0433986415617605e-57,True
exp_01,exp_03,infolm_fisher_rao,InfoLM Fisher-Rao,False,4204,1.1495423241986065,1.3255041644698282,0.17596184027122158,0.15674254790510264,0.19546171090157954,695838.0,1.1862912838010274e-63,scipy_wilcoxon,2.9657282095025686e-62,True
exp_01,exp_04,R@1,R@1,True,4205,0.3065398335315101,0.19072532699167657,0.11581450653983354,0.10083234244946493,0.1305588585017836,162357.0,1.837283366132094e-49,scipy_wilcoxon,3.12338172242456e-48,True
