condition,n,ACR,ACR_ci_low,ACR_ci_high,persona_fit@1,fit@1_ci_low,fit@1_ci_high,persona_fit@5,fit@5_ci_low,fit@5_ci_high,persona_fit@10,fit@10_ci_low,fit@10_ci_high,nDCG@5,nDCG@5_ci_low,nDCG@5_ci_high,nDCG@10,nDCG@10_ci_low,nDCG@10_ci_high,gt_R@1,gt_MRR
matched,480,0.5631944444444444,0.5074565972222222,0.6194444444444444,0.23333333333333334,0.15416666666666667,0.32296874999999975,0.2279166666666667,0.15291666666666667,0.3204270833333333,0.21687499999999998,0.14728645833333334,0.3054322916666665,0.5560442517464469,0.5020724752410312,0.61196265811355,0.544608373802415,0.49412011964514596,0.596720951462076,0.0375,0.09904702619338984
shuffled,480,0.4137152777777777,0.34684895833333335,0.48125,0.15208333333333332,0.07083333333333333,0.24791666666666667,0.14458333333333334,0.06665625,0.23879166666666643,0.14729166666666668,0.07228124999999999,0.2387656249999999,0.40825725075113556,0.3438119964901232,0.47620601505086785,0.4099193410621218,0.3473957711573681,0.47625391223515723,0.04791666666666667,0.1030904313751145
random,480,0.384375,0.32047743055555555,0.4454904513888889,0.11041666666666666,0.04791666666666667,0.1875,0.10958333333333335,0.052500000000000005,0.1816770833333333,0.10812500000000001,0.054161458333333336,0.17730208333333328,0.3726471992205293,0.310296651435747,0.434038696050486,0.37112021173340964,0.3093976958468902,0.43162654837294734,0.03958333333333333,0.10780400879333835
no_ltp,480,0.41267361111111106,0.34876302083333327,0.47170138888888885,0.15416666666666667,0.08744791666666667,0.23541666666666666,0.14708333333333334,0.08041666666666666,0.2241979166666665,0.14187500000000003,0.07874479166666667,0.21625520833333334,0.41266355225575185,0.35112206979606697,0.4734975027042159,0.40640333700290987,0.34528748981848895,0.4661716918455757,0.17916666666666667,0.32134100149155764
cf_tempo,480,0.41006944444444443,0.3633680555555555,0.4534765625,0.058333333333333334,0.029166666666666667,0.09166666666666666,0.04958333333333333,0.02666666666666667,0.07416666666666667,0.05083333333333333,0.029161458333333334,0.07541666666666667,0.4413281435614215,0.4008372468345759,0.47968083717248117,0.4595260869255593,0.4147472033591028,0.5035618541046019,0.05416666666666667,0.1296342271285187
cf_energy,480,0.5873263888888889,0.5215277777777777,0.6470572916666667,0.18333333333333332,0.1125,0.2604166666666667,0.15833333333333333,0.10165624999999999,0.22251041666666663,0.15437499999999998,0.10104166666666668,0.21458854166666663,0.5878858633554017,0.5335962947475558,0.6383832107393069,0.5818880089421004,0.5273698229158321,0.6311203394938119,0.03958333333333333,0.09575369998155049
cf_vocal,480,0.4366319444444444,0.3822083333333334,0.4907638888888889,0.03958333333333333,0.01875,0.0625,0.04708333333333334,0.03082291666666667,0.06375,0.04895833333333333,0.03229166666666667,0.06687499999999999,0.4626524709745824,0.41942924233039164,0.5041489211653221,0.4717273875483018,0.4284559203689046,0.5111275768397637,0.041666666666666664,0.10748783407657622
cf_popularity,480,0.5385416666666667,0.49149305555555556,0.5848958333333333,0.15625,0.10625,0.20833333333333334,0.1408333333333333,0.11290625000000001,0.1687604166666666,0.13687499999999997,0.10916666666666668,0.16437500000000002,0.5235617980166072,0.48157026632909117,0.5649070263814076,0.5243332517034379,0.4828117786143624,0.5641093984231224,0.04583333333333333,0.11474240506783578
cf_consistency,480,0.5635416666666667,0.5055555555555556,0.6163194444444445,0.25416666666666665,0.17916666666666667,0.3458333333333333,0.23208333333333334,0.16041666666666668,0.3241874999999999,0.22770833333333332,0.1547916666666667,0.3177135416666666,0.5558152758838925,0.506242204261411,0.6076546561029788,0.5502135625849623,0.5028903749940907,0.5989966446481775,0.05,0.11816841312729123
