counterfactual,target_attribute,CDA,CDA_ci_low,CDA_ci_high,IAD,IAD_ci_low,IAD_ci_high,diversity_delta,diversity_delta_ci_low,diversity_delta_ci_high
cf_tempo,tempo,0.19375,0.1125,0.28125,0.2899305555555555,0.23854166666666668,0.3385503472222222,nan,nan,nan
cf_energy,energy,0.19375,0.10625,0.2875,0.2190972222222222,0.18125,0.26112847222222213,nan,nan,nan
cf_vocal,vocal,0.23125,0.11875,0.34375,0.27274305555555556,0.22881510416666664,0.31996961805555546,nan,nan,nan
cf_popularity,popularity,0.08544303797468354,0.06012184043445274,0.11041009463722397,0.20520833333333333,0.16874131944444445,0.24618055555555554,nan,nan,nan
cf_consistency,consistency/diversity,0.5,0.44375,0.5604687499999997,0.20451388888888886,0.1644097222222222,0.2474001736111111,-0.009666463806259743,-0.024177790967601174,0.00299546494931338
