condition,attribute_claim_support_rate,support_ci_low,support_ci_high,PCRR,PCRR_ci_low,PCRR_ci_high,share_with_any_attribute_claim
matched,0.768189964157706,0.6765807665486115,0.8508006473785165,0.2318100358422939,0.14919935262148337,0.32341923345138834,0.775
shuffled,0.7036986301369864,0.5953734687720803,0.805912525028804,0.2963013698630137,0.19408747497119586,0.4046265312279196,0.7604166666666666
random,0.700006469979296,0.5920030747320608,0.8027710480290094,0.29999353002070395,0.19722895197099052,0.40799692526793924,0.7666666666666667
no_ltp,0.6862397820163488,0.5712999212908304,0.7920375829034635,0.3137602179836512,0.20796241709653648,0.4287000787091696,0.7645833333333333
