exp,model,n_samples,n_claims,claims_per_generation,mean_words,degenerate_rate,preference_claim_ratio,preference_generation_coverage,preference_correct_rate,preference_partial_rate,preference_nonexistent_rate,preference_uncheckable_ratio,metadata_claim_ratio,metadata_support_rate,metadata_notfound_rate,UCR_L1_clause,UCR_L2_sentence,audio_claim_ratio,video_claim_ratio,prompt_claim_ratio,general_claim_ratio
exp_01,Hybrid LTP,4205,22812,5.424970273483948,47.44898929845422,0.002615933412604043,0.00872347887076977,0.045659928656361475,0.4,0.19230769230769232,0.4076923076923077,0.34673366834170855,0.3854550236717517,0.8243992606284658,0.11090573012939002,0.12765211292302298,0.028362265474311765,0.370550587410135,0.005172716114325794,0.048702437313694544,0.05374364369630019
exp_02,Explicit-only LTP,4205,20989,4.991438763376932,45.95148632580261,0.035196195005945306,0.013483253132593263,0.06492271105826397,0.48044692737430167,0.15083798882681565,0.3687150837988827,0.3674911660777385,0.37633998761255893,0.8097165991902834,0.10121457489878542,0.13664300347801228,0.03725761112963934,0.34765829720329694,0.005812568488255753,0.06408118538281957,0.05598170470246319
exp_03,Implicit-only LTP,4205,22392,5.325089179548157,47.38192627824019,0.001426872770511296,0.00946766702393712,0.04732461355529132,0.4397163120567376,0.16312056737588654,0.3971631205673759,0.33490566037735847,0.3807609860664523,0.7757009345794392,0.13707165109034267,0.12750089317613433,0.02871561271882815,0.356734548052876,0.0053590568060021436,0.057520543051089675,0.0626563058235084
exp_04,No-LTP,4205,22414,5.330321046373365,47.84137931034483,0.0047562425683709865,0.009012224502543053,0.04708680142687277,0.43089430894308944,0.18699186991869918,0.3821138211382114,0.3910891089108911,0.37472115642009457,0.7909356725146199,0.12134502923976608,0.13620951191219774,0.031810475595609886,0.35433211385741054,0.006469171053805657,0.06603015972160257,0.053225662532345855
