exp_name,pool_size,prompt_variant,ranking_summary_exists,top1_summary_exists,ranking_summary_path,top1_summary_path,num_samples,recall@1,recall@5,recall@10,mean_rank,median_rank,bertscore_f1_top1_all,infolm_ab_top1_all,infolm_l2_top1_all,infolm_fisher_rao_top1_all,title_consistency_rate,needs_manual_review_rate,top1_correct_n,top1_incorrect_n,top1_correct_bertscore_f1,top1_incorrect_bertscore_f1,top1_correct_infolm_l2,top1_incorrect_infolm_l2,recall@1_delta_vs_500,recall@1_relative_change_vs_500,recall@5_delta_vs_500,recall@5_relative_change_vs_500,recall@10_delta_vs_500,recall@10_relative_change_vs_500,mean_rank_delta_vs_500,mean_rank_relative_change_vs_500,bertscore_f1_top1_all_delta_vs_500,bertscore_f1_top1_all_relative_change_vs_500,infolm_ab_top1_all_delta_vs_500,infolm_ab_top1_all_relative_change_vs_500,infolm_l2_top1_all_delta_vs_500,infolm_l2_top1_all_relative_change_vs_500,infolm_fisher_rao_top1_all_delta_vs_500,infolm_fisher_rao_top1_all_relative_change_vs_500,title_consistency_rate_delta_vs_500,title_consistency_rate_relative_change_vs_500,needs_manual_review_rate_delta_vs_500,needs_manual_review_rate_relative_change_vs_500
exp_01,100,original,1,1,<project_root>/checkpoints\exp_01\detailed_eval\exp_01_best_100pool_pool100_summary.json,<project_root>/checkpoints\exp_01\detailed_eval\exp_01_best_100pool_top1_pool100_prompt_original_summary.json,4205,0.583829,0.913199,0.973603,2.37503,1.0,0.761516,2.060127,0.177742,1.510629,0.702532,0.257075,2455,1750,0.778083,0.738275,0.132792,0.2408,0.277289,0.904577,0.249228,0.37536,0.174792,0.218815,-5.574078,-0.701221,0.008923,0.011856,-0.446737,-0.178206,-0.028604,-0.138622,-0.249666,-0.141832,0.095448,0.157224,-0.083234,-0.244584
exp_01,500,original,1,1,<project_root>/checkpoints\exp_01\detailed_eval\exp_01_best_500pool_summary.json,<project_root>/checkpoints\exp_01\detailed_eval\exp_01_best_500pool_top1_prompt_original_summary.json,4205,0.30654,0.663971,0.798811,7.949108,3.0,0.752593,2.506864,0.206346,1.760295,0.607084,0.340309,1289,2916,0.779607,0.740652,0.128671,0.240683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp_01,1000,original,1,1,<project_root>/checkpoints\exp_01\detailed_eval\exp_01_best_1000pool_pool1000_summary.json,<project_root>/checkpoints\exp_01\detailed_eval\exp_01_best_1000pool_top1_pool1000_prompt_original_summary.json,4205,0.210939,0.524138,0.675386,14.949584,5.0,0.750688,2.664869,0.215955,1.851969,0.578774,0.364328,887,3318,0.781314,0.742501,0.128745,0.239269,-0.095601,-0.311871,-0.139833,-0.210601,-0.123425,-0.154511,7.000476,0.880662,-0.001905,-0.002531,0.158005,0.063029,0.009609,0.046567,0.091674,0.052079,-0.02831,-0.046633,0.024019,0.07058
